YEAR_MONTH,NEW_CUSTOMER,REPEAT_CUSTOMER,REACTIVATED_CUSTOMER,CHURN_CUSTOMER
200604,1003,0,0,
200605,544,675,0,-328
200606,382,787,82,-432
200607,385,843,181,-408
200608,366,887,197,-522
200609,328,931,238,-519
200610,255,940,254,-557
200611,239,927,277,-522
200612,226,940,319,-503
200701,175,924,306,-561
200702,151,897,280,-508
200703,169,898,350,-430
200704,176,891,305,-526
200705,149,885,357,-487
200706,163,901,376,-490
200707,190,911,357,-529
200708,189,900,359,-558
200709,173,889,375,-559
200710,170,889,355,-548
200711,147,910,401,-504
200712,134,929,345,-529
200801,105,861,348,-547
200802,126,860,359,-454
200803,133,870,375,-475
200804,22,855,663,-523
200805,0,966,625,-574
200806,0,997,602,-594
200807,0,465,130,-1134
